,language,url,query,documentation
0,java,https://github.com/riversun/string-grabber/blob/b5aadc21fe15f50d35392188dec6ab81dcf8d464/src/main/java/org/riversun/string_grabber/StringGrabber.java#L509-L516,convert int to string,"returns int value ,when format error occurred ,returns default value

@param defaultValue
@return"
1,java,https://github.com/google/j2objc/blob/471504a735b48d5d4ace51afa1542cc4790a921a/jre_emul/android/platform/external/icu/android_icu4j/src/main/java/android/icu/text/IDNA.java#L579-L583,convert int to string,"IDNA2003: Convenience function that implements the IDNToASCII operation as defined in the IDNA RFC.
This operation is done on complete domain names, e.g: ""www.example.com"".
It is important to note that this operation can fail. If it fails, then the input
domain name cannot be used as an Internationalized Domain Name and the application
should have methods defined to deal with the failure.

<b>Note:</b> IDNA RFC specifies that a conformant application should divide a domain name
into separate labels, decide whether to apply allowUnassigned and useSTD3ASCIIRules on each,
and then convert. This function does not offer that level of granularity. The options once
set will apply to all labels in the domain name

@param src       The input string as UCharacterIterator to be processed
@param options   A bit set of options:
- IDNA.DEFAULT              Use default options, i.e., do not process unassigned code points
and do not use STD3 ASCII rules
If unassigned code points are found the operation fails with
ParseException.

- IDNA.ALLOW_UNASSIGNED     Unassigned values can be converted to ASCII for query operations
If this option is set, the unassigned code points are in the input
are treated as normal Unicode code points.

- IDNA.USE_STD3_RULES       Use STD3 ASCII rules for host name syntax restrictions
If this option is set and the input does not satisfy STD3 rules,
the operation will fail with ParseException
@return StringBuffer the converted String
@deprecated ICU 55 Use UTS 46 instead via {@link #getUTS46Instance(int)}.
@hide original deprecated declaration"
2,java,https://github.com/belaban/JGroups/blob/bd3ca786aa57fed41dfbc10a94b1281e388be03b/src/org/jgroups/util/Bits.java#L748-L750,convert int to string,"Measures the number of bytes required to encode an AsciiSring.
@param str the string
@return the number of bytes required for encoding str"
3,java,https://github.com/lucee/Lucee/blob/29b153fc4e126e5edb97da937f2ee2e231b87593/core/src/main/java/lucee/runtime/op/Caster.java#L4255-L4257,convert int to string,"casts a string to a TimeZone

@param strTimeZone
@param defaultValue
@return TimeZone from String"
4,java,https://github.com/httl/httl/blob/e13e00f4ab41252a8f53d6dafd4a6610be9dcaad/httl/src/main/java/httl/Engine.java#L220-L223,convert int to string,"Get config int value.

@param key          - config key
@param defaultValue - default int value
@return config int value
@see #getEngine()"
5,java,https://github.com/bushidowallet/bushido-java-service/blob/e1a0157527e57459b509718044d2df44084876a2/bushido-service-lib/src/main/java/com/bccapi/bitlib/util/HexUtils.java#L44-L46,convert int to string,"Encodes an array of bytes as hex symbols.

@param bytes
the array of bytes to encode
@param separator
the separator to use between two bytes, can be null
@return the resulting hex string"
6,go,https://github.com/trivago/tgo/blob/efdb64f40efe6e7cd3f50415710e7af6a7c316ad/tstrings/strings.go#L238-L244,convert int to string,"// AtoI64 converts a numeric string to an int64, using GetNumBase to detect
// the numeric base for conversion."
7,java,https://github.com/ManfredTremmel/gwt-commons-lang3/blob/9e2dfbbda3668cfa5d935fe76479d1426c294504/src/main/java/org/apache/commons/lang3/math/NumberUtils.java#L323-L332,convert int to string,"<p>Convert a <code>String</code> to a <code>byte</code>, returning a
default value if the conversion fails.</p>

<p>If the string is <code>null</code>, the default value is returned.</p>

<pre>
NumberUtils.toByte(null, 1) = 1
NumberUtils.toByte("""", 1)   = 1
NumberUtils.toByte(""1"", 0)  = 1
</pre>

@param str  the string to convert, may be null
@param defaultValue  the default value
@return the byte represented by the string, or the default if conversion fails
@since 2.5"
8,java,https://github.com/LGoodDatePicker/LGoodDatePicker/blob/c7df05a5fe382e1e08a6237e9391d8dc5fd48692/Project/src/main/java/com/github/lgooddatepicker/optionalusertools/PickerUtilities.java#L220-L222,convert int to string,"localTimeToString, This will return the supplied time as a string. If the time is null, this
will return the value of emptyTimeString.

Time values will be output in one of the following ISO-8601 formats: ""HH:mm"", ""HH:mm:ss"",
""HH:mm:ss.SSS"", ""HH:mm:ss.SSSSSS"", ""HH:mm:ss.SSSSSSSSS"".

The format used will be the shortest that outputs the full value of the time where the
omitted parts are implied to be zero.
</code>"
9,java,https://github.com/alkacon/opencms-core/blob/bc104acc75d2277df5864da939a1f2de5fdee504/src/org/opencms/ui/dialogs/CmsSecureExportDialog.java#L301-L307,convert int to string,"Converts a property object to a field value for one of the boolean selection widgets.<p>

@param prop the property to convert
@return the field value"
10,java,https://github.com/aws/aws-sdk-java/blob/aa38502458969b2d13a1c3665a56aba600e4dbd0/aws-java-sdk-s3/src/main/java/com/amazonaws/services/s3/model/transform/XmlResponsesSaxParser.java#L292-L300,convert int to string,"Safely parses the specified string as a long and returns the value. If a
NumberFormatException occurs while parsing the long, an error is logged
and -1 is returned.

@param s
The string to parse and return as a long.

@return The long value of the specified string, otherwise -1 if there
were any problems parsing the string as a long."
11,java,https://github.com/colin-lee/mybatis-spring-support/blob/de412e98d00e9a012c0619778fa1a61832863b82/src/main/java/com/github/mybatis/util/UnicodeFormatter.java#L137-L143,convert int to string,"字符串转换为int，避免运行时异常

@param str        待处理字符串
@param defaultVal 默认值
@return 转换失败返回指定默认值"
12,java,https://github.com/CenturyLinkCloud/mdw/blob/91167fe65a25a5d7022cdcf8b0fae8506f5b87ce/mdw-common/src/com/centurylink/mdw/model/asset/Asset.java#L486-L500,convert int to string,single digit without decimal means a major version not minor
13,java,https://github.com/groovy/groovy-core/blob/01309f9d4be34ddf93c4a9943b5a97843bff6181/src/main/org/codehaus/groovy/runtime/StringGroovyMethods.java#L1449-L1452,convert int to string,"Support the subscript operator for String.

@param text  a String
@param index the index of the Character to get
@return the Character at the given index
@since 1.0"
14,java,https://github.com/banq/jdonframework/blob/72b451caac04f775e57f52aaed3d8775044ead53/src/main/java/com/jdon/util/StringUtil.java#L552-L558,convert int to string,"Decode a string using Base64 encoding.

@param str
@return String"
15,java,https://github.com/OpenLiberty/open-liberty/blob/ca725d9903e63645018f9fa8cbda25f60af83a5d/dev/com.ibm.ws.container.service/src/com/ibm/ws/container/service/naming/JavaColonNamespaceBindings.java#L92-L95,convert int to string,"Return the context

@param name
@return"
16,java,https://github.com/bushidowallet/bushido-java-service/blob/e1a0157527e57459b509718044d2df44084876a2/bushido-service-lib/src/main/java/com/bccapi/bitlib/util/HexUtils.java#L59-L61,convert int to string,"Encodes an array of bytes as hex symbols.

@param bytes
the array of bytes to encode
@param offset
the start offset in the array of bytes
@param length
the number of bytes to encode
@return the resulting hex string"
17,java,https://github.com/opentelecoms-org/jsmpp/blob/acc15e73e7431deabc803731971b15323315baaf/jsmpp/src/main/java/org/jsmpp/bean/DeliveryReceipt.java#L305-L312,convert int to string,"Create String representation of integer. Preceding 0 will be add as
needed.

@param value is the value.
@param digit is the digit should be shown.
@return the String representation of int value."
18,java,https://github.com/evernote/evernote-sdk-android/blob/fc59be643e85c4f59d562d1bfe76563997aa73cf/library/src/main/java/com/evernote/client/android/EvernoteUtil.java#L191-L199,convert int to string,"Takes a string in hexadecimal format and converts it to a binary byte
array. This does no checking of the format of the input, so this should
only be used after confirming the format or origin of the string. The input
string should only contain the hex data, two characters per byte."
19,java,https://github.com/groovy/groovy-core/blob/01309f9d4be34ddf93c4a9943b5a97843bff6181/src/main/org/codehaus/groovy/runtime/StringGroovyMethods.java#L256-L260,convert int to string,"Convenience method to capitalize the first letter of a CharSequence
(typically the first letter of a word). Example usage:
<pre class=""groovyTestCase"">
assert 'h'.capitalize() == 'H'
assert 'hello'.capitalize() == 'Hello'
assert 'hello world'.capitalize() == 'Hello world'
assert 'Hello World' ==
'hello world'.split(' ').collect{ it.capitalize() }.join(' ')
</pre>

@param self The CharSequence to capitalize
@return A String containing the capitalized toString() of the CharSequence
@see #capitalize(String)
@since 1.8.2"
20,java,https://github.com/gosu-lang/gosu-lang/blob/d6e9261b137ce66fef3726cabe7826d4a1f946b7/gosu-core-api/src/main/java/gw/util/GosuStringUtil.java#L4090-L4096,convert int to string,"<p>Remove and return everything before the first value of a
supplied String from another String.</p>

@param str  the String to chomp from, must not be null
@param sep  the String to chomp, must not be null
@return String prechomped
@throws NullPointerException if str or sep is <code>null</code>
@deprecated Use {@link #substringBefore(String,String)} instead
(although this doesn't include the separator).
Method will be removed in Commons Lang 3.0."
21,java,https://github.com/jeppetto/jeppetto/blob/bd2796dcf53376052f590e727931990a2902a933/jeppetto-dao-mongo/src/main/java/org/iternine/jeppetto/dao/mongodb/enhance/DirtyableDBObjectList.java#L549-L563,convert int to string,-------------------------------------------------------------
22,go,https://github.com/alexbrainman/odbc/blob/cf37ce29077901df2bcf307b80084697697fee26/api/api.go#L70-L78,convert int to string,"//sys	SQLAllocHandle(handleType SQLSMALLINT, inputHandle SQLHANDLE, outputHandle *SQLHANDLE) (ret SQLRETURN) = odbc32.SQLAllocHandle
//sys	SQLBindCol(statementHandle SQLHSTMT, columnNumber SQLUSMALLINT, targetType SQLSMALLINT, targetValuePtr SQLPOINTER, bufferLength SQLLEN, vallen *SQLLEN) (ret SQLRETURN) = odbc32.SQLBindCol
//sys	SQLBindParameter(statementHandle SQLHSTMT, parameterNumber SQLUSMALLINT, inputOutputType SQLSMALLINT, valueType SQLSMALLINT, parameterType SQLSMALLINT, columnSize SQLULEN, decimalDigits SQLSMALLINT, parameterValue SQLPOINTER, bufferLength SQLLEN, ind *SQLLEN) (ret SQLRETURN) = odbc32.SQLBindParameter
//sys	SQLCloseCursor(statementHandle SQLHSTMT) (ret SQLRETURN) = odbc32.SQLCloseCursor
//sys	SQLDescribeCol(statementHandle SQLHSTMT, columnNumber SQLUSMALLINT, columnName *SQLWCHAR, bufferLength SQLSMALLINT, nameLengthPtr *SQLSMALLINT, dataTypePtr *SQLSMALLINT, columnSizePtr *SQLULEN, decimalDigitsPtr *SQLSMALLINT, nullablePtr *SQLSMALLINT) (ret SQLRETURN) = odbc32.SQLDescribeColW
//sys	SQLDescribeParam(statementHandle SQLHSTMT, parameterNumber SQLUSMALLINT, dataTypePtr *SQLSMALLINT, parameterSizePtr *SQLULEN, decimalDigitsPtr *SQLSMALLINT, nullablePtr *SQLSMALLINT) (ret SQLRETURN) = odbc32.SQLDescribeParam
//sys	SQLDisconnect(connectionHandle SQLHDBC) (ret SQLRETURN) = odbc32.SQLDisconnect
//sys	SQLDriverConnect(connectionHandle SQLHDBC, windowHandle SQLHWND, inConnectionString *SQLWCHAR, stringLength1 SQLSMALLINT, outConnectionString *SQLWCHAR, bufferLength SQLSMALLINT, stringLength2Ptr *SQLSMALLINT, driverCompletion SQLUSMALLINT) (ret SQLRETURN) = odbc32.SQLDriverConnectW
//sys	SQLEndTran(handleType SQLSMALLINT, handle SQLHANDLE, completionType SQLSMALLINT) (ret SQLRETURN) = odbc32.SQLEndTran
//sys	SQLExecute(statementHandle SQLHSTMT) (ret SQLRETURN) = odbc32.SQLExecute
//sys	SQLFetch(statementHandle SQLHSTMT) (ret SQLRETURN) = odbc32.SQLFetch
//sys	SQLFreeHandle(handleType SQLSMALLINT, handle SQLHANDLE) (ret SQLRETURN) = odbc32.SQLFreeHandle
//sys	SQLGetData(statementHandle SQLHSTMT, colOrParamNum SQLUSMALLINT, targetType SQLSMALLINT, targetValuePtr SQLPOINTER, bufferLength SQLLEN, vallen *SQLLEN) (ret SQLRETURN) = odbc32.SQLGetData
//sys	SQLGetDiagRec(handleType SQLSMALLINT, handle SQLHANDLE, recNumber SQLSMALLINT, sqlState *SQLWCHAR, nativeErrorPtr *SQLINTEGER, messageText *SQLWCHAR, bufferLength SQLSMALLINT, textLengthPtr *SQLSMALLINT) (ret SQLRETURN) = odbc32.SQLGetDiagRecW
//sys	SQLNumParams(statementHandle SQLHSTMT, parameterCountPtr *SQLSMALLINT) (ret SQLRETURN) = odbc32.SQLNumParams
//sys	SQLMoreResults(statementHandle SQLHSTMT) (ret SQLRETURN) = odbc32.SQLMoreResults
//sys	SQLNumResultCols(statementHandle SQLHSTMT, columnCountPtr *SQLSMALLINT)  (ret SQLRETURN) = odbc32.SQLNumResultCols
//sys	SQLPrepare(statementHandle SQLHSTMT, statementText *SQLWCHAR, textLength SQLINTEGER) (ret SQLRETURN) = odbc32.SQLPrepareW
//sys	SQLRowCount(statementHandle SQLHSTMT, rowCountPtr *SQLLEN) (ret SQLRETURN) = odbc32.SQLRowCount
//sys	SQLSetEnvAttr(environmentHandle SQLHENV, attribute SQLINTEGER, valuePtr SQLPOINTER, stringLength SQLINTEGER) (ret SQLRETURN) = odbc32.SQLSetEnvAttr
//sys	SQLSetConnectAttr(connectionHandle SQLHDBC, attribute SQLINTEGER, valuePtr SQLPOINTER, stringLength SQLINTEGER) (ret SQLRETURN) = odbc32.SQLSetConnectAttrW
// UTF16ToString returns the UTF-8 encoding of the UTF-16 sequence s,
// with a terminating NUL removed."
23,java,https://github.com/osglworks/java-tool/blob/8b6eee2bccb067eb32e6a7bc4a4dfef7a7d9008b/src/main/java/org/osgl/util/FastStr.java#L1662-L1667,convert int to string,"Construct a FastStr instance from a String instance.
The FastStr instance will share the char array buf with
the String instance
@param s the string instance
@return A FastStr instance"
24,go,https://github.com/360EntSecGroup-Skylar/excelize/blob/63e97ffc9aae35780cdbd69ad966fb101fc5217f/styles.go#L850-L856,convert int to string,"// formatToInt provides a function to convert original string to integer
// format as string type by given built-in number formats code and cell
// string."
25,java,https://github.com/hypfvieh/java-utils/blob/407c32d6b485596d4d2b644f5f7fc7a02d0169c6/src/main/java/com/github/hypfvieh/util/ConverterUtil.java#L25-L34,convert int to string,"Convert given String to Integer, returns _default if String is not an integer.
@param _str
@param _default
@return _str as Integer or _default value"
26,java,https://github.com/iipc/webarchive-commons/blob/988bec707c27a01333becfc3bd502af4441ea1e1/src/main/java/org/archive/url/SURTTokenizer.java#L171-L179,convert int to string,"Given a string that may be a plain host or host/path (without
URI scheme), add an implied http:// if necessary.

@param u string to evaluate
@return string with http:// added if no scheme already present"
27,java,https://github.com/alipay/sofa-rpc/blob/a31406410291e56696185a29c3ba4bd1f54488fd/extension-impl/extension-common/src/main/java/com/alipay/sofa/rpc/common/SofaConfigs.java#L120-L123,convert int to string,"解析数字型配置

@param appName      应用名
@param key          配置项
@param defaultValue 默认值
@return 配置"
28,java,https://github.com/audit4j/audit4j-core/blob/dc8569108851e64cb0ecc7a39048db0ad070fba2/src/main/java/org/audit4j/core/util/ConcurrentDateFormatAccess.java#L94-L99,convert int to string,"Convert date to string.

@param date the date
@return the string"
29,java,https://github.com/fcrepo3/fcrepo/blob/37df51b9b857fd12c6ab8269820d406c3c4ad774/fcrepo-common/src/main/java/org/fcrepo/utilities/NormalizedURI.java#L231-L237,convert int to string,"Return the default port used by a given scheme.

@param the scheme, e.g. http
@return the port number, or -1 if unknown"
30,java,https://github.com/JM-Lab/utils-java8/blob/9e407b3f28a7990418a1e877229fa8344f4d78a5/src/main/java/kr/jm/utils/time/JMTimeUtil.java#L404-L408,convert int to string,"Change format and time zone to default utc format string.

@param dateFormat the date format
@param dateString the date string
@return the string"
31,go,https://github.com/joyt/godate/blob/7151572574a7c217932a48e0b23c111631e7181c/godate.go#L309-L315,convert int to string,"// LayoutUnicode returns the layout of this date according to the
// Unicode standard: http://www.unicode.org/reports/tr35/tr35-19.html#Date_Format_Patterns
// NOT TESTED."
32,java,https://github.com/BranchMetrics/android-branch-deep-linking/blob/e3bee2ccfcbf6d4bf1a5815b5b86666e4ff8f848/Branch-SDK/src/io/branch/referral/Branch.java#L2247-L2249,convert int to string,PRIVATE FUNCTIONS
33,java,https://github.com/netplex/json-smart-v2/blob/bfb3daef039e22a7bbff5f76bf14ea23330cd70e/json-smart/src/main/java/net/minidev/json/parser/JSONParserString.java#L38-L40,convert int to string,"use to return Primitive Type, or String, Or JsonObject or JsonArray
generated by a ContainerFactory"
34,java,https://github.com/google/j2objc/blob/471504a735b48d5d4ace51afa1542cc4790a921a/jre_emul/android/platform/libcore/ojluni/src/main/java/java/util/logging/LogManager.java#L1319-L1329,convert int to string,we return the given default value.
35,java,https://github.com/Shusshu/Android-RecurrencePicker/blob/4f0ae74482e4d46d57a8fb13b4b7980a8613f4af/library/src/main/java/be/billington/calendar/recurrencepicker/EventRecurrence.java#L281-L300,convert int to string,"Converts one of the internal day constants (SU, MO, etc.) to the
two-letter string representing that constant.

@param day one the internal constants SU, MO, etc.
@return the two-letter string for the day (""SU"", ""MO"", etc.)
@throws IllegalArgumentException Thrown if the day argument is not one of
the defined day constants."
36,java,https://github.com/xqbase/util/blob/e7b9167b6c701b9eec988a9d1e68446cef5ef420/util/src/main/java/com/xqbase/util/Numbers.java#L56-L58,convert int to string,"Parse an <b>int</b> with a given default value <b>i</b> and
a given range between <b>min</b> and <b>max</b> (inclusive)

@return default value if null or not parsable"
37,java,https://github.com/kiegroup/jbpm/blob/c3473c728aa382ebbea01e380c5e754a96647b82/jbpm-flow-builder/src/main/java/org/jbpm/compiler/xml/processes/RuleFlowMigrator.java#L162-L174,convert int to string,"***********************************************************************
Converts the contents of the given Reader into a string.
WARNING: the given string is not reset (as not all
readers support reset). Consequently, anny further
attempt to read from the given reader will return nothing,
unless you reset the reader.
@param reader
@return he contents of the given Reader into a string.
@throws IOException
**********************************************************************"
38,java,https://github.com/hsiafan/apk-parser/blob/8993ddd52017b37b8f2e784ae0a15417d9ede932/src/main/java/net/dongliu/apk/parser/utils/Buffers.java#L66-L72,convert int to string,"read utf16 strings, use strLen, not ending 0 char."
39,java,https://github.com/classgraph/classgraph/blob/c8c8b2ca1eb76339f69193fdac33d735c864215c/src/main/java/io/github/classgraph/MethodParameterInfo.java#L129-L133,convert int to string,"Get the method parameter modifiers as a String, e.g. ""final"". For the modifier bits, call
{@link #getModifiers()}.

@return The modifiers for the method parameter, as a String."
40,java,https://github.com/b3log/latke/blob/f7e08a47eeecea5f7c94006382c24f353585de33/latke-core/src/main/java/org/b3log/latke/util/Locales.java#L209-L215,convert int to string,"Gets language from the specified locale string.

@param localeString the specified locale string
@return language, if the length of specified locale string less than 2, returns """""
41,java,https://github.com/pressgang-ccms/PressGangCCMSBuilder/blob/5436d36ba1b3c5baa246b270e5fc350e6778bce8/src/main/java/org/jboss/pressgang/ccms/contentspec/builder/utils/DocBookBuildUtilities.java#L485-L487,convert int to string,"Convert a DOM Document to a Formatted String representation.

@param doc                 The DOM Document to be converted and formatted.
@param xmlFormatProperties The XML Formatting Properties.
@return The converted XML String representation."
42,java,https://github.com/hypercube1024/firefly/blob/ed3fc75b7c54a65b1e7d8141d01b49144bb423a3/firefly-common/src/main/java/com/firefly/utils/io/BufferUtils.java#L905-L909,convert int to string,"Convert Buffer to string ID independent of content

@param buffer the buffet to generate a string ID from
@return A string showing the buffer ID"
43,java,https://github.com/lets-blade/blade-jdbc/blob/f9348b6da2eaae5d953bc3cdb49f8fea1cc8b75c/blade-jdbc-core/src/main/java/com/blade/jdbc/utils/NameUtils.java#L14-L20,convert int to string,"首字母大写

@param name
@return"
44,java,https://github.com/Bedework/bw-util/blob/f51de4af3d7eb88fe63a0e22be8898a16c6cc3ad/bw-util-struts/src/main/java/org/bedework/util/struts/UtilActionForm.java#L595-L606,convert int to string,"Convert a string parameter so we can add an
error message for incorrect formats (instead of relying on Struts).

<p>Struts tends to return 0 or null for illegal values, e.g., alpha
characters for a number.

@param newVal
@param curVal
@param name
@return String"
45,java,https://github.com/zaproxy/zaproxy/blob/0cbe5121f2ae1ecca222513d182759210c569bec/src/org/zaproxy/zap/control/AddOn.java#L2149-L2172,convert int to string,NOTE: Following 2 methods copied from org.apache.commons.lang.SystemUtils version 2.6 because of constrained visibility
46,java,https://github.com/google/j2objc/blob/471504a735b48d5d4ace51afa1542cc4790a921a/jre_emul/openjdk/src/share/classes/java/math/MutableBigInteger.java#L183-L187,convert int to string,Convert this MutableBigInteger to a BigInteger object.
47,java,https://github.com/jpelzer/pelzer-util/blob/ec14f2573fd977d1442dba5d1507a264f5ea9aa6/src/main/java/com/pelzer/util/Timecode.java#L365-L371,convert int to string,"Units smaller than seconds are ignored completely. For example the HH:MM:SS:FF string
""01:03:05:07"" would return ""01:03:05""

@param delimiter
@return the total time in hh:mm:ss format where "":"" is specified by the delimiter parameter."
48,java,https://github.com/dashorst/wicket-stuff-markup-validator/blob/9e529a4dc8bfdbbe4c794f3132ef400a006560a1/whattf/src/main/resources/relaxng/datatype/java/src/org/whattf/datatype/IriRef.java#L306-L324,convert int to string,"Turn ""FOO_BAR_BAZ"" into ""Foo bar baz""."
49,java,https://github.com/aws/aws-sdk-java/blob/aa38502458969b2d13a1c3665a56aba600e4dbd0/aws-java-sdk-simpledb/src/main/java/com/amazonaws/services/simpledb/util/SimpleDBUtils.java#L288-L293,convert int to string,"Encodes date value into string format that can be compared lexicographically

@param date
date value to be encoded
@return string representation of the date value"
50,java,https://github.com/wildfly/wildfly-core/blob/cfaf0479dcbb2d320a44c5374b93b944ec39fade/request-controller/src/main/java/org/wildfly/extension/requestcontroller/ControlPoint.java#L227-L229,priority queue,"Queues a task to run when the request controller allows it. This allows tasks not to be dropped when the max request
limit has been hit. If the container has been suspended then this
<p/>
Note that the task will be run withing the context of a {@link #beginRequest()} call, if the task
is executed there is no need to invoke on the control point again.



@param task            The task to run
@param taskExecutor    The executor to run the task in"
