,language,url,query,documentation
0,java,https://github.com/jpelzer/pelzer-util/blob/ec14f2573fd977d1442dba5d1507a264f5ea9aa6/src/main/java/com/pelzer/util/Timecode.java#L365-L371,convert int to string,"Units smaller than seconds are ignored completely. For example the HH:MM:SS:FF string
""01:03:05:07"" would return ""01:03:05""

@param delimiter
@return the total time in hh:mm:ss format where "":"" is specified by the delimiter parameter."
1,python,https://github.com/inasafe/inasafe/blob/831d60abba919f6d481dc94a8d988cc205130724/safe/utilities/unicode.py#L25-L30,convert int to string,Convert to str
2,java,https://github.com/aws/aws-sdk-java/blob/aa38502458969b2d13a1c3665a56aba600e4dbd0/aws-java-sdk-simpledb/src/main/java/com/amazonaws/services/simpledb/util/SimpleDBUtils.java#L288-L293,convert int to string,"Encodes date value into string format that can be compared lexicographically

@param date
date value to be encoded
@return string representation of the date value"
3,go,https://github.com/sajari/docconv/blob/eedabc494f8e97c31f94c70453273f16dbecbc6f/pdf_text.go#L23-L73,convert int to string,// Convert PDF
4,java,https://github.com/dashorst/wicket-stuff-markup-validator/blob/9e529a4dc8bfdbbe4c794f3132ef400a006560a1/whattf/src/main/resources/relaxng/datatype/java/src/org/whattf/datatype/IriRef.java#L306-L324,convert int to string,"Turn ""FOO_BAR_BAZ"" into ""Foo bar baz""."
5,python,https://github.com/pytroll/pyspectral/blob/fd296c0e0bdf5364fa180134a1292665d6bc50a3/rsr_convert_scripts/seviri_rsr.py#L163-L184,convert int to string,Convert from wavelengths to wavenumber
6,java,https://github.com/google/j2objc/blob/471504a735b48d5d4ace51afa1542cc4790a921a/jre_emul/openjdk/src/share/classes/java/math/MutableBigInteger.java#L183-L187,convert int to string,Convert this MutableBigInteger to a BigInteger object.
7,python,https://github.com/fulfilio/python-magento/blob/720ec136a6e438a9ee4ee92848a9820b91732750/magento/utils.py#L29-L32,convert int to string,Converts CamelCase to camel_case
8,java,https://github.com/lets-blade/blade-jdbc/blob/f9348b6da2eaae5d953bc3cdb49f8fea1cc8b75c/blade-jdbc-core/src/main/java/com/blade/jdbc/utils/NameUtils.java#L14-L20,convert int to string,"首字母大写

@param name
@return"
9,python,https://github.com/tisimst/mcerp/blob/2bb8260c9ad2d58a806847f1b627b6451e407de1/mcerp/umath.py#L236-L244,convert int to string,Convert degrees to radians
