,language,url,query
0,php,https://github.com/mossphp/moss-framework/blob/b84424195cb0f71e7bd56ec9485b12f38bdfb703/Moss/Http/Response/CookieBag.php#L141-L149,convert int to string
1,go,https://github.com/lunny/tango/blob/eff25c79c1b7824c5a21d3e6a44bc6bf8f955df1/form.go#L214-L216,convert int to string
2,python,https://github.com/GibbsConsulting/django-plotly-dash/blob/773ed081fc2ea3cc7607590322a14686a7a79bc5/django_plotly_dash/middleware.py#L65-L81,convert int to string
3,java,https://github.com/ksclarke/freelib-utils/blob/54e822ae4c11b3d74793fd82a1a535ffafffaf45/src/main/java/info/freelibrary/util/StringUtils.java#L135-L143,convert int to string
4,python,https://github.com/kennethreitz/legit/blob/699802c5be665bd358456a940953b5c1d8672754/legit/utils.py#L8-L20,convert int to string
5,python,https://github.com/gccxml/pygccxml/blob/2b1efbb9e37ceb2ae925c7f3ce1570f476db9e1e/pygccxml/parser/project_reader.py#L213-L234,convert int to string
6,go,https://github.com/tideland/golib/blob/b56169c6bd620eeb7cfc4b9b4027fc10d2934c84/collections/tree.go#L702-L706,convert int to string
7,go,https://github.com/alternaDev/go-random-name-gen/blob/717cdfee6879febf811442f6b4711864ec278948/scripts/includetxt.go#L13-L28,convert int to string
8,python,https://github.com/aboSamoor/polyglot/blob/d0d2aa8d06cec4e03bd96618ae960030f7069a17/polyglot/tag/base.py#L62-L80,convert int to string
9,javascript,https://github.com/upptalk/upptalk.js/blob/1b457c1a23c4ac07bcb4b1d8b9b1ec37037a415c/dist/upptalk.js#L1807-L1819,convert int to string
10,python,https://github.com/jilljenn/tryalgo/blob/89a4dd9655e7b6b0a176f72b4c60d0196420dfe1/tryalgo/arithm_expr_eval.py#L47-L72,convert int to string
11,python,https://github.com/ergoithz/browsepy/blob/1612a930ef220fae507e1b152c531707e555bd92/browsepy/__init__.py#L61-L73,convert int to string
12,java,https://github.com/lightblueseas/file-worker/blob/2c81de10fb5d68de64c1abc3ed64ca681ce76da8/src/main/java/de/alpharogroup/file/GeneratorExtensions.java#L54-L99,convert int to string
