,language,url,query,documentation
0,java,https://github.com/QSFT/Doradus/blob/ad64d3c37922eefda68ec8869ef089c1ca604b70/doradus-server/src/main/java/com/dell/doradus/utilities/Converter.java#L67-L72,convert int to string,convert
1,java,https://github.com/facebookarchive/hadoop-20/blob/2a29bc6ecf30edb1ad8dbde32aa49a317b4d44f4/src/core/org/apache/hadoop/metrics/APITrace.java#L152-L182,convert int to string,convert
2,go,https://github.com/aerospike/aerospike-client-go/blob/f257953b1650505cf4c357fcc4f032d160ebb07e/types/message.go#L92-L98,convert int to string,// converts a
3,go,https://github.com/jpfielding/gorets/blob/1fe0f2d805aec564b6a18e24909e0f544a71e0a3/pkg/util/metadata_conversion.go#L17-L31,convert int to string,// Convert ...
4,python,https://github.com/guaix-ucm/numina/blob/6c829495df8937f77c2de9383c1038ffb3e713e3/numina/types/frame.py#L59-L74,convert int to string,Convert
5,javascript,https://github.com/BastienClement/nld/blob/ce4f2c927df40c67e940700d111a03d28afef9f5/lib/cli.js#L214-L223,convert int to string,Convert ---------------------------------------------------------------------
6,java,https://github.com/dnsjava/dnsjava/blob/d97b6a0685d59143372bb392ab591dd8dd840b61/org/xbill/DNS/HINFORecord.java#L86-L93,convert int to string,Converts to a string
7,python,https://github.com/inasafe/inasafe/blob/831d60abba919f6d481dc94a8d988cc205130724/safe/utilities/unicode.py#L25-L30,convert int to string,Convert to str
8,java,https://github.com/dnsjava/dnsjava/blob/d97b6a0685d59143372bb392ab591dd8dd840b61/org/xbill/DNS/TXTBase.java#L80-L91,convert int to string,converts to a String
9,java,https://github.com/rhuss/jolokia/blob/dc95e7bef859b1829776c5a84c8f7738f5d7d9c3/agent/core/src/main/java/org/jolokia/converter/object/StringToObjectConverter.java#L229-L253,convert int to string,Convert an array
10,java,https://github.com/dnsjava/dnsjava/blob/d97b6a0685d59143372bb392ab591dd8dd840b61/org/xbill/DNS/GPOSRecord.java#L112-L121,convert int to string,Convert to a String
11,python,https://github.com/inveniosoftware-attic/invenio-utils/blob/9a1c6db4e3f1370901f329f510480dd8df188296/invenio_utils/text.py#L544-L550,convert int to string,Convert to unicode.
12,python,https://github.com/inveniosoftware/invenio-accounts/blob/b0d2f0739b00dbefea22ca15d7d374a1b4a63aec/invenio_accounts/hash.py#L31-L36,convert int to string,Convert to text.
13,python,https://github.com/inveniosoftware/invenio-accounts/blob/b0d2f0739b00dbefea22ca15d7d374a1b4a63aec/invenio_accounts/hash.py#L23-L28,convert int to string,Convert to binary.
14,python,https://github.com/tsroten/dragonmapper/blob/68eaf43c32725f4b4923c01284cfc0112079e8ab/dragonmapper/transcriptions.py#L451-L461,convert int to string,Convert *s* to IPA.
15,python,https://github.com/HDI-Project/RDT/blob/b28fdd671a1d7fbd14983eefe0cfbd8d87ded92a/rdt/transformers/number.py#L82-L94,convert int to string,Converts to int.
16,python,https://github.com/facelessuser/backrefs/blob/3b3d60f5d57b02044f880aa29c9c5add0e31a34f/backrefs/_bre_parse.py#L1239-L1251,convert int to string,Convert case.
