,language,url,query,documentation
0,go,https://github.com/cilium/cilium/blob/6ecfff82c2314dd9d847645361b57e2646eed64b/pkg/k8s/factory_functions.go#L272-L281,convert int to string,// ConvertToIngress converts a *v1beta1.Ingress into a *v1beta1.Ingress
1,go,https://github.com/juju/juju/blob/ba728eedb1e44937c7bdc59f374b06400d0c7133/apiserver/common/storagecommon/volumes.go#L289-L304,convert int to string,"// VolumeAttachmentInfoToState converts a params.VolumeAttachmentInfo
// to a state.VolumeAttachmentInfo."
2,javascript,https://github.com/AlCalzone/node-coap-client/blob/e690881a7be677b922325ce0103ddab2fc3ca091/build/lib/Hostname.js#L21-L44,convert int to string,Takes an URL-safe hostname and converts it to an address to be used in UDP sockets
3,go,https://github.com/ethereum/go-ethereum/blob/b6c0234e0b5c9d459d1ed784c910f6348890d56b/cmd/puppeth/genesis.go#L310-L416,convert int to string,"// newParityChainSpec converts a go-ethereum genesis block into a Parity specific
// chain specification format."
4,php,https://github.com/anklimsk/cakephp-basic-functions/blob/7554e8b0b420fd3155593af7bf76b7ccbdc8701e/Vendor/langcode-conv/zendframework/zend-filter/src/Inflector.php#L464-L472,convert int to string,"Resolve named filters and convert them to filter objects.

@param  string $rule
@return FilterInterface"
5,php,https://github.com/PHLAK/Config/blob/7542c4bf3a4761233239d34104edff99abea1550/src/Loaders/Toml.php#L17-L30,convert int to string,"Retrieve the contents of a .toml file and convert it to an array of
configuration options.

@return array Array of configuration options"
6,go,https://github.com/opencontainers/runc/blob/dae70e8efea4199c8ac3d8c80eb23e1f75e60ebf/libcontainer/seccomp/config.go#L50-L55,convert int to string,"// ConvertStringToOperator converts a string into a Seccomp comparison operator.
// Comparison operators use the names they are assigned by Libseccomp's header.
// Attempting to convert a string that is not a valid operator results in an
// error."
7,php,https://github.com/bytic/helpers/blob/6a4f0388ba8653d65058ce63cf7627e38b9df041/src/Strings.php#L78-L91,convert int to string,"Converts all relative hrefs and image srcs to absolute

@param string $string
@param string $base
@return string"
8,java,https://github.com/wildfly/wildfly-core/blob/cfaf0479dcbb2d320a44c5374b93b944ec39fade/platform-mbean/src/main/java/org/jboss/as/platform/mbean/PlatformMBeanUtil.java#L111-L120,convert int to string,"Utility for converting {@link java.lang.management.MemoryUsage} to a detyped form.
@param memoryUsage the memory usage data object
@return the detyped representation"
9,php,https://github.com/ezsystems/ezpublish-kernel/blob/ef2ae730a46e9718ebd80f1047c0f8b866209ce9/eZ/Publish/Core/Persistence/Legacy/Content/FieldValue/Converter/MediaConverter.php#L53-L61,convert int to string,"Converts field definition data in $storageDef into $fieldDef.

@param \eZ\Publish\Core\Persistence\Legacy\Content\StorageFieldDefinition $storageDef
@param \eZ\Publish\SPI\Persistence\Content\Type\FieldDefinition $fieldDef"
10,java,https://github.com/google/closure-compiler/blob/d81e36740f6a9e8ac31a825ee8758182e1dc5aae/src/com/google/javascript/jscomp/DotFormatter.java#L170-L173,convert int to string,"Converts an AST to dot representation and appends it to the given buffer.
@param n the root of the AST described in the dot formatted string
@param inCFG Control Flow Graph.
@param builder A place to dump the graph."
11,php,https://github.com/propelorm/Propel/blob/3f7a284906ce3e402bcb101938270842fdad71fa/generator/lib/task/PropelDataDumpTask.php#L218-L248,convert int to string,"Create the data XML -> database map.

This is necessary because there is currently no other method of knowing which
data XML files correspond to which database.  This map allows us to convert multiple
data XML files into SQL.

@throws IOException - if unable to store properties"
12,java,https://github.com/PistoiaHELM/HELM2NotationToolkit/blob/ac5bb01fd5b4082134a8ef226bbe2ff0f60fcd38/src/main/java/org/helm/notation2/tools/HELM1Utils.java#L218-L290,convert int to string,"method to convert the first section into canonical first section

@param helm2notation HELM2Notation
@return an Object containing in the first place a Map of converted ids and
in the second place the firstSection
@throws IOException
@throws HELM1ConverterException if there were HELM2 features in the
HELMNotation
@throws HELM1FormatException if the adHocMonomers can not be found
@throws ClassNotFoundException
@throws ValidationException if a smiles as monomer is not valid
@throws ChemistryException if the Chemistry Engine can not be initialized
@throws org.helm.notation2.parser.exceptionparser.NotationException"
13,ruby,https://github.com/dicom/rtkit/blob/08248bf294769ae5b45ed4a9671f0620d5740252/lib/rtkit/dose_volume.rb#L238-L246,convert int to string,"Builds a 3D dose pixel NArray from the dose images belonging to this
 DoseVolume. The array has shape [frames, columns, rows] and contains
 pixel values. To convert to dose values, the array must be multiplied
 with the scaling attribute.

 @return [NArray<Float>] a 3D numerical array"
14,python,https://github.com/wonambi-python/wonambi/blob/1d8e3d7e53df8017c199f703bcab582914676e76/wonambi/attr/annotations.py#L1212-L1249,convert int to string,"Change the stage for one specific epoch.

        Parameters
        ----------
        epoch_start : int
            start time of the epoch, in seconds
        name : str
            description of the stage or qualifier.
        attr : str, optional
            either 'stage' or 'quality'
        save : bool
            whether to save every time one epoch is scored

        Raises
        ------
        KeyError
            When the epoch_start is not in the list of epochs.
        IndexError
            When there is no rater / epochs at all

        Notes
        -----
        In the GUI, you want to save as often as possible, even if it slows
        down the program, but it's the safer option. But if you're converting
        a dataset, you want to save at the end. Do not forget to save!"
15,python,https://github.com/secure-systems-lab/securesystemslib/blob/beb3109d5bb462e5a60eed88fb40ed1167bd354e/securesystemslib/keys.py#L496-L582,convert int to string,"<Purpose>
    Construct a key dictionary (e.g., securesystemslib.formats.RSAKEY_SCHEMA)
    according to the keytype of 'key_metadata'.  The dict returned by this
    function has the exact format as the dict returned by one of the key
    generations functions, like generate_ed25519_key().  The dict returned
    has the form:

    {'keytype': keytype,
     'scheme': scheme,
     'keyid': 'f30a0870d026980100c0573bd557394f8c1bbd6...',
     'keyval': {'public': '...',
                'private': '...'}}

    For example, RSA key dictionaries in RSAKEY_SCHEMA format should be used by
    modules storing a collection of keys, such as with keydb.py.  RSA keys as
    stored in metadata files use a different format, so this function should be
    called if an RSA key is extracted from one of these metadata files and need
    converting.  The key generation functions create an entirely new key and
    return it in the format appropriate for 'keydb.py'.

    >>> ed25519_key = generate_ed25519_key()
    >>> key_val = ed25519_key['keyval']
    >>> keytype = ed25519_key['keytype']
    >>> scheme = ed25519_key['scheme']
    >>> ed25519_metadata = \
    format_keyval_to_metadata(keytype, scheme, key_val, private=True)
    >>> ed25519_key_2, junk = format_metadata_to_key(ed25519_metadata)
    >>> securesystemslib.formats.ED25519KEY_SCHEMA.matches(ed25519_key_2)
    True
    >>> ed25519_key == ed25519_key_2
    True

  <Arguments>
    key_metadata:
      The key dictionary as stored in Metadata files, conforming to
      'securesystemslib.formats.KEY_SCHEMA'.  It has the form:

      {'keytype': '...',
       'scheme': scheme,
       'keyval': {'public': '...',
                  'private': '...'}}

  <Exceptions>
    securesystemslib.exceptions.FormatError, if 'key_metadata' does not conform
    to 'securesystemslib.formats.KEY_SCHEMA'.

  <Side Effects>
    None.

  <Returns>
    In the case of an RSA key, a dictionary conformant to
    'securesystemslib.formats.RSAKEY_SCHEMA'."
16,php,https://github.com/UnionOfRAD/lithium/blob/bec3f4fdf61ea5002904754f43941ad1430ecec7/analysis/logger/adapter/Cache.php#L80-L91,priority queue,"Writes the message to the configured cache adapter.

@param string $priority
@param string $message
@return \Closure Function returning boolean `true` on successful write, `false` otherwise."
17,python,https://github.com/dagwieers/vmguestlib/blob/2ba9333a745628cf9e6b4c767427a5bd997a71ad/vmguestlib.py#L401-L408,priority queue,"Retrieves the number of memory shares allocated to the virtual machine.
           For information about how an ESX server uses memory shares to manage
           virtual machine priority, see the vSphere Resource Management Guide."
18,python,https://github.com/saltstack/salt/blob/e8541fd6e744ab0df786c0f76102e41631f45d46/salt/modules/inspector.py#L71-L103,priority queue,"Start node inspection and save the data to the database for further query.

    Parameters:

    * **mode**: Clarify inspection mode: configuration, payload, all (default)

      payload
        * **filter**: Comma-separated directories to track payload.

    * **priority**: (advanced) Set priority of the inspection. Default is low priority.



    CLI Example:

    .. code-block:: bash

        salt '*' inspector.inspect
        salt '*' inspector.inspect configuration
        salt '*' inspector.inspect payload filter=/opt,/ext/oracle"
19,java,https://github.com/jdillon/gshell/blob/b587c1a4672d2e4905871462fa3b38a1f7b94e90/gshell-util/src/main/java/com/planet57/gshell/util/jline/StringsCompleter2.java#L100-L104,string to date,Add string with specific completer.
20,go,https://github.com/arangodb/go-velocypack/blob/7896a965b4adc3bcc556b17d494537e30b4c1bd7/slice.go#L314-L332,string to date,// GetStringLength return the length for a String object
21,go,https://github.com/vulcand/vulcand/blob/5fb2302c78e2db24de076c2b2c6276bf6f48ebf0/plugin/trace/trace.go#L46-L48,string to date,// String is a user-friendly representation of the handler
22,php,https://github.com/codefog/contao-news_categories/blob/85fe0094da33f4dc22f73346a9dddd43a939ca12/src/Model/NewsCategoryModel.php#L49-L61,string to date,"Get the CSS class.

@return string"
23,php,https://github.com/atlantisphp/medusa/blob/a9050cc4481968def8c43d6ee454cf98a356ed19/src/Directives.php#L243-L247,string to date,"While statement

@return string $this->__cached"
24,python,https://github.com/mbj4668/pyang/blob/f2a5cc3142162e5b9ee4e18d154568d939ff63dd/pyang/syntax.py#L173-L184,string to date,"Checks if the string `s` is a valid date string.

    Return True of False."
25,php,https://github.com/sensiolabs/BehatPageObjectExtension/blob/965037d73dc8c3481f6f4bfd361df4667612bdaf/features/bootstrap/BehatRunnerContext.php#L128-L134,string to date,"@param string $path

@return Finder"
26,php,https://github.com/corpsee/nameless-utilities/blob/d235cf707110d68ea6d85c301be750bf47d0c94f/src/StringHelper.php#L53-L56,string to date,"@param string $haystack
@param string $needle

@return boolean"
27,php,https://github.com/vinala/kernel/blob/346c8a4dca48fd1ab88fdc9f7004ecb7bce6a67a/src/Http/Router/Route.php#L153-L164,string to date,"Format the name and the url of Route.

@param string $url

@return string"
28,php,https://github.com/bytic/helpers/blob/6a4f0388ba8653d65058ce63cf7627e38b9df041/src/Strings.php#L78-L91,string to date,"Converts all relative hrefs and image srcs to absolute

@param string $string
@param string $base
@return string"
29,php,https://github.com/tlumx/tlumx-view/blob/9f784eb8092ac2971e05cb478849ade6d485bbfa/src/View.php#L571-L582,string to date,"Render file

@param string $file
@return string
@throws \RuntimeException"
30,php,https://github.com/xuzhenjun130/X-framework/blob/07b91c572d7fff79c46e9fb45389f03a6d53725f/Controller.php#L89-L95,string to date,"获取views 路径
@return string
@throws \ReflectionException"
